Iteration,X,Y,FoM,Estimated Min
3,-2.65625,2.96875,1.6620349884033203,0.029379153681796
3,-2.96875,3.28125,1.8349933624267578,-0.047683569254857616
3,-2.96875,3.59375,10.660905838012695,5.529424039226776
3,-2.65625,3.28125,1.6725635528564453,-0.11356890719731583
3,-2.65625,3.59375,10.742616653442383,5.520297922077869
3,3.28125,-2.34375,9.790239334106445,5.668925528154953
3,3.28125,-2.03125,5.294466018676758,1.985123065886357
3,3.59375,-2.34375,4.539003372192383,2.2719673040215116
3,3.59375,-2.03125,0.5315113067626953,-0.14074806844655363
3,3.28125,-1.71875,4.395570755004883,1.3920346874482536
3,3.28125,-1.40625,5.72026252746582,2.865576577578627
3,3.59375,-1.71875,0.2429676055908203,-0.1980611579000751
3,3.59375,-1.40625,2.300081253051758,1.1851303313359245
3,2.65625,1.40625,12.040834426879883,7.992011614572421
3,2.65625,1.71875,6.884355545043945,3.5799715510204138
3,2.96875,1.40625,4.826555252075195,2.7572503067985243
3,2.96875,1.71875,1.3790607452392578,0.12418089424832512
3,2.65625,2.03125,3.7073230743408203,1.3315672140935253
3,2.65625,2.34375,3.883028030395508,2.0552312286060017
3,2.96875,2.03125,0.03308296203613281,-0.15661280535772953
3,2.96875,2.34375,2.1619129180908203,0.5249729996937977
3,3.28125,1.40625,4.40739631652832,2.8552431181769387
3,3.28125,1.71875,2.790956497192383,0.7899725861916775
3,3.59375,1.40625,13.072175979614258,8.110522466544314
3,3.59375,1.71875,13.40886116027832,7.718899827435016
